IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
40.233.87.120,2603:c021:4:9a88::1016,443,190.43,CA,YYZ,17.84,27.98
72.11.146.199,72.11.146.199,443,141.2,CA,YYZ,20.42,70.59
38.180.210.224,38.180.210.224,443,91.31,CA,YYZ,28.78,75.82
40.233.77.216,2603:c021:5:8c88::825,443,63.29,CA,YYZ,17.99,28.05
40.233.68.138,40.233.68.138,443,34.96,CA,YYZ,18.07,27.82
40.233.110.251,2603:c021:4:9a88::1018,443,19.59,CA,YYZ,19.35,23.99
172.98.207.58,172.98.207.6,443,19.4,CA,YYZ,18.75,24.36
45.133.16.41,45.133.16.41,443,15.72,CA,YYZ,22.63,60.7
68.233.122.42,68.233.122.42,443,12.78,CA,YUL,18.12,36.27
40.233.116.225,40.233.116.225,443,10.57,CA,YYZ,23.3,30.81
40.233.99.248,2603:c021:4:9a88::1020,443,8.9,CA,YYZ,17.86,29.87
204.216.107.15,204.216.107.15,443,6.91,CA,YYZ,44.98,75.45
40.233.103.212,2603:c021:5:8c88::1008,443,6.38,CA,YYZ,20.23,24.29
167.160.190.137,167.160.190.137,443,3.34,CA,YYZ,19.13,41.88
72.11.145.117,72.11.145.117,443,2.36,CA,YYZ,19.98,102.87
65.49.232.101,65.49.232.101,443,1.86,CA,YVR,67.53,72.76
159.203.2.180,159.203.2.180,443,1.72,CA,YYZ,31.15,35.43
84.234.16.169,84.234.16.169,443,9.69,CH,ZRH,102.06,136.86
140.238.208.210,140.238.208.210,443,7.51,CH,ZRH,95.64,106.49
84.234.16.169,84.234.16.169,8443,7.06,CH,ZRH,98.19,133.08
51.34.85.34,51.34.85.34,443,7.05,CH,ZRH,95.62,106.99
45.85.93.45,45.85.93.45,443,5.04,CH,ZRH,96.5,149.16
38.180.84.40,38.180.84.40,443,4.73,CH,MXP,103.08,141.32
140.238.170.32,140.238.170.32,443,4.5,CH,ZRH,98.21,101.94
83.228.193.229,83.228.193.229,8443,4.11,CH,ZRH,101.75,118.4
83.228.193.229,83.228.193.229,443,3.83,CH,ZRH,103.2,119.74
91.245.225.69,91.245.225.69,443,3.73,CH,ZRH,103.54,180.19
84.234.17.132,84.234.17.132,8443,3.0,CH,ZRH,102.09,117.89
83.228.193.162,83.228.193.162,443,2.81,CH,ZRH,107.34,116.13
45.85.93.49,45.85.93.49,443,2.77,CH,ZRH,100.67,117.82
152.67.85.239,152.67.85.239,443,2.48,CH,ZRH,129.83,101.81
45.59.117.92,45.59.117.92,443,2.46,CH,ZRH,101.23,114.1
107.189.30.77,107.189.30.77,443,2.37,CH,ZRH,93.33,108.53
38.180.85.203,38.180.85.203,443,2.35,CH,MXP,93.15,110.07
194.156.102.142,194.156.102.142,443,2.3,CH,ZRH,216.62,226.88
84.234.17.132,84.234.17.132,443,2.13,CH,ZRH,95.68,110.38
176.10.125.114,176.10.125.114,443,2.03,CH,ZRH,94.91,107.48
82.38.135.128,82.38.135.128,443,2.0,CH,ZRH,104.29,130.72
152.67.64.55,152.67.64.55,443,1.91,CH,ZRH,105.13,110.77
83.228.193.177,83.228.193.177,443,1.86,CH,ZRH,102.48,116.05
83.228.193.162,83.228.193.162,8443,1.84,CH,ZRH,100.88,124.52
141.227.150.38,141.227.150.38,443,1.63,CH,ZRH,101.19,101.14
83.228.193.188,83.228.193.188,8443,1.51,CH,ZRH,112.02,114.94
82.38.64.166,82.38.64.166,443,1.45,CH,ZRH,104.4,120.67
